account,v5 balance,v6 balance,scale factor used
026c48515f1f4b95aea38cfe4084e5a2,0.379517,13.396967,35.3000445302845
0278900a2d862334c531351a2a9e8191,2972.138733,104916.633085,35.3000456944013
027dcb147c9df25fd7913f9016984d46,1994.883859,70419.491378,35.3000456945399
027eff7cd352034cfd3d41fa9b65ab99,259.830286,9172.020968,35.3000456921331
02845587f4d65d1ddda394094bbfb0a1,224.985247,7941.989499,35.3000456914404
0285159467a10a77a50dfa40ddda5ff1,828.802959,29256.782324,35.300045693973
028c139817afca9aac53613701eee596,457.18978,16138.820125,35.3000456943723
02911a80d1296a478451403866784e81,153.010205,5401.267228,35.3000456930307
029be8d0b2739ef60b3b509c470d2950,115.908002,4091.557766,35.3000456862331
029f13ab73861aee5c405a39b0c374f2,1,35.300045,35.300045
02a1966925b9bb22d5c95e2e1422ae17,8947.574473,315849.787753,35.3000456946294
02a7d6a742972f51090ffa2b09f09382,0.999694,35.289243,35.300044813713
02a88ba412793190219c275abeb4a687,4392.817357,155066.65343,35.30004569457
02a892a449874e2be18b7ea814688b04,1540001,54362105.669911,35.3000456947177
02ac22550cd38db602ea2d1a1bb8ab0b,100699.274031,3554688.974719,35.3000456947157
02ae06901389c2c2188bad8ca4028495,110.814665,3911.762738,35.3000456934107
02afe24a93c28114db73972e64a569b6,455.727295,16087.194337,35.3000456928962
02b220c8cb4299ac11b35fcdd01a6fed,4700.84373,165939.998472,35.300045694563
02b2681e541c3def3808e44e68105ce1,316.807307,11183.312413,35.3000456930749
02b54d84ca2b37422a41d65f3c00ffd5,0.989211,34.919193,35.3000451875282
02c2b126eb8a5f86724f9fb4fb6c47b9,1.98744,70.156722,35.3000452843859
02c49e208d236a800921132070597103,0.644881,22.764328,35.3000445043349
02c9c4f478032c5554cb3859ac0bb19c,29.140194,1028.650179,35.3000456688792
02d77ef5c2fbc25d0635348335a4e3e7,1312.976451,46348.128716,35.300045694422
02d953c0513c913042e8e2def47676ca,608.500496,21480.095314,35.3000456946218
02e5681bad8de547febc15e5763ee3e3,198.229397,6997.506772,35.3000456940299
02ee79a356c59d671a70982c72f72d23,5695.95026,201067.304452,35.3000456945704
02f2af15f72d8a725e626f7359d59fd2,491.797282,17360.466527,35.3000456944372
02f61fc8479e09da046acc1cd916c54c,213.711042,7544.009548,35.3000456944101
02fc06efe8d652ff95bfb336460462aa,4780.268761,168743.705696,35.3000456946483
0302f98e7e2ad2e8a47a4f465b051e6c,7121.221248,251379.435456,35.3000456946342
0305316734355823cf430cc9e4ebd6b1,391.53587,13821.234102,35.3000456944085
030ea53fab1ed87b54b16938b2f10b26,7822.036976,276118.262678,35.3000456946446
030ff379751eb2ae44f39024cdb3b3f6,20.425589,721.024225,35.3000456926848
031454caa4b76c266add074ec4c11ca1,193.504652,6830.723057,35.3000456908912
031553a3443eb9e3aeb82d568e6d793f,0.905838,31.976122,35.3000448203763
0319063c55d475ae84441249a1e233b6,945.570826,33378.693365,35.3000456943032
031ad4997597e1889e6dbfc2b032f521,0.848155,29.93991,35.3000453926464
031cf5be288c42e3178fab39057cbc82,0.095281,3.363423,35.300038832506
031ddfe893769b70a9e6104df7fbf2b3,843.076317,29760.632514,35.3000456944398
0321c2072e99888509f940a5fd026418,37.985305,1340.883002,35.3000456887209
0329f10f139c2b58cf7195c3e560f751,2248.269852,79364.028509,35.3000456944258
032e47eee6c0950170805ad85674c400,11307.587928,399158.370555,35.3000456946789
032ffa86511fcbc0a1d538531aa6fafa,0.98,34.594044,35.3000448979592
0331da31250e045aaf0c56bc190dc3ea,37.811361,1334.742771,35.300045692616
0335a07f574336f7fee792dbab5390f0,572.966414,20225.740595,35.3000456934287
0336e30d4924211ba20a035c8ffa3a7f,0.619906,21.88271,35.300045490768
0337e9d4421263ff24be098b0d95c9a6,517.966503,18284.241224,35.3000456942676
0338178092889170d69a585306efeda1,350.246405,12363.7141,35.3000456921178
0338f34a671288e2f4751ba809426d43,103.710298,3660.978258,35.3000456907375
033d38853a500490e2043353638728a2,9.956714,351.472459,35.3000456777206
034107407d35dd0263cffd96ad0c964d,1,35.300045,35.300045
034491ea00dc69bd94cf0ee6c13f6f90,45.932657,1621.42489,35.3000456733866
0347ae6c49a64abc5b29803889ba94d1,0.543309,19.178832,35.3000447259294
0347d065a393cce0492484e8c24f0ebd,873.5453,30836.189006,35.3000456942531
03481718dff129aa1afc9fe230c079c5,2.865964,101.16866,35.3000456390939
